Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote
A,"Agilent Technologies, Inc.",76.3,$24.3B,1999,Capital Goods,Biotechnology: Laboratory Analytical Instruments,https://www.nasdaq.com/symbol/a
AA,Alcoa Corporation,28.55,$5.28B,2016,Basic Industries,Aluminum,https://www.nasdaq.com/symbol/aa
AAC,"AAC Holdings, Inc.",2.72,$66.92M,2014,Health Care,Medical Specialities,https://www.nasdaq.com/symbol/aac
AAN,"Aaron&#39;s,  Inc.",50.4,$3.66B,n/a,Technology,Diversified Commercial Services,https://www.nasdaq.com/symbol/aan
AAP,Advance Auto Parts Inc,157.22,$11.46B,n/a,Consumer Services,Other Specialty Stores,https://www.nasdaq.com/symbol/aap
AAT,"American Assets Trust, Inc.",43.06,$2.03B,2011,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/aat
AB,AllianceBernstein Holding L.P.,29.97,$2.89B,n/a,Finance,Investment Managers,https://www.nasdaq.com/symbol/ab
ABB,ABB Ltd,19.6,$41.78B,n/a,Consumer Durables,Electrical Products,https://www.nasdaq.com/symbol/abb
ABBV,AbbVie Inc.,79.08,$118.95B,2012,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/abbv
ABC,AmerisourceBergen Corporation (Holding Co),86.64,$18.29B,n/a,Health Care,Other Pharmaceuticals,https://www.nasdaq.com/symbol/abc
ABEV,Ambev S.A.,4.88,$76.72B,2013,Consumer Non-Durables,Beverages (Production/Distribution),https://www.nasdaq.com/symbol/abev
ABG,Asbury Automotive Group Inc,73.63,$1.44B,2002,Consumer Durables,Automotive Aftermarket,https://www.nasdaq.com/symbol/abg
ABM,ABM Industries Incorporated,34.68,$2.29B,n/a,Finance,Diversified Commercial Services,https://www.nasdaq.com/symbol/abm
ABR,Arbor Realty Trust,11.92,$1.03B,2004,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/abr
ABR^A,Arbor Realty Trust,25.73,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/abr^a
ABR^B,Arbor Realty Trust,25.5972,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/abr^b
ABR^C,Arbor Realty Trust,25.71,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/abr^c
ABT,Abbott Laboratories,73.49,$129.07B,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/abt
AC,"Associated Capital Group, Inc.",43.43,$981.42M,2015,Finance,Investment Bankers/Brokers/Service,https://www.nasdaq.com/symbol/ac
ACA,"Arcosa, Inc.",29.36,$1.43B,2018,Capital Goods,Industrial Machinery/Components,https://www.nasdaq.com/symbol/aca
ACB,Aurora Cannabis Inc.,7.57,$7.56B,n/a,Consumer Durables,Specialty Chemicals,https://www.nasdaq.com/symbol/acb
ACC,American Campus Communities Inc,45.6,$6.25B,2004,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/acc
ACCO,Acco Brands Corporation,9.07,$931.85M,n/a,Consumer Durables,Publishing,https://www.nasdaq.com/symbol/acco
ACH,Aluminum Corporation of China Limited,9.32,$5.56B,2001,Basic Industries,Aluminum,https://www.nasdaq.com/symbol/ach
ACM,AECOM,30.08,$4.7B,2007,Consumer Services,Military/Government/Technical,https://www.nasdaq.com/symbol/acm
ACN,Accenture plc,157.16,$100.39B,2001,Miscellaneous,Business Services,https://www.nasdaq.com/symbol/acn
ACP,Aberdeen Income Credit Strategies Fund,11.84,$154.8M,2011,n/a,n/a,https://www.nasdaq.com/symbol/acp
ACRE,Ares Commercial Real Estate Corporation,14.22,$408.09M,2012,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/acre
ACV,AllianzGI Diversified Income & Convertible Fund,21.68,$223.55M,2015,n/a,n/a,https://www.nasdaq.com/symbol/acv
ADC,Agree Realty Corporation,66.22,$2.49B,n/a,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/adc
ADM,Archer-Daniels-Midland Company,41.87,$23.47B,n/a,Consumer Non-Durables,Packaged Foods,https://www.nasdaq.com/symbol/adm
ADNT,Adient plc,21.33,$2B,2016,Capital Goods,Auto Parts:O.E.M.,https://www.nasdaq.com/symbol/adnt
ADS,Alliance Data Systems Corporation,179.88,$9.8B,2001,Miscellaneous,Business Services,https://www.nasdaq.com/symbol/ads
ADSW,"Advanced Disposal Services, Inc.",25.95,$2.3B,2016,Public Utilities,Environmental Services,https://www.nasdaq.com/symbol/adsw
ADT,ADT Inc.,7.64,$5.86B,2018,Consumer Services,Diversified Commercial Services,https://www.nasdaq.com/symbol/adt
ADX,"Adams Diversified Equity Fund, Inc.",13.92,$1.4B,n/a,n/a,n/a,https://www.nasdaq.com/symbol/adx
AEB,Aegon NV,22.31,n/a,n/a,Finance,Life Insurance,https://www.nasdaq.com/symbol/aeb
AED,Aegon NV,25.82,n/a,n/a,Finance,Life Insurance,https://www.nasdaq.com/symbol/aed
AEE,Ameren Corporation,68.89,$16.83B,n/a,Public Utilities,Power Generation,https://www.nasdaq.com/symbol/aee
AEG,Aegon NV,5.23,$10.57B,n/a,Finance,Life Insurance,https://www.nasdaq.com/symbol/aeg
AEH,Aegon NV,25.771,n/a,n/a,Finance,Life Insurance,https://www.nasdaq.com/symbol/aeh
AEL,American Equity Investment Life Holding Company,31.43,$2.84B,2003,Finance,Life Insurance,https://www.nasdaq.com/symbol/ael
AEM,Agnico Eagle Mines Limited,42.98,$10.1B,n/a,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/aem
AEO,"American Eagle Outfitters, Inc.",21.64,$3.82B,n/a,Consumer Services,Clothing/Shoe/Accessory Stores,https://www.nasdaq.com/symbol/aeo
AEP,"American Electric Power Company, Inc.",79.21,$39.06B,n/a,Public Utilities,Electric Utilities: Central,https://www.nasdaq.com/symbol/aep
AER,Aercap Holdings N.V.,47.13,$6.93B,2006,Technology,Diversified Commercial Services,https://www.nasdaq.com/symbol/aer
AES,The AES Corporation,16.98,$11.25B,n/a,Basic Industries,Electric Utilities: Central,https://www.nasdaq.com/symbol/aes
AFB,Alliance National Municipal Income Fund Inc,12.7,$365.06M,2002,n/a,n/a,https://www.nasdaq.com/symbol/afb
AFC,Ares Capital Corporation,25.7201,$205.76M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/afc
AFG,"American Financial Group, Inc.",95.35,$8.51B,n/a,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/afg
AFGE,"American Financial Group, Inc.",25.65,n/a,2014,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/afge
AFGH,"American Financial Group, Inc.",25.51,n/a,2015,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/afgh
AFI,"Armstrong Flooring, Inc.",13.4,$346.09M,2016,Consumer Non-Durables,Plastic Products,https://www.nasdaq.com/symbol/afi
AFL,Aflac Incorporated,48.4,$36.56B,n/a,Finance,Accident &Health Insurance,https://www.nasdaq.com/symbol/afl
AFSI^A,"AmTrust Financial Services, Inc.",10.2,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/afsi^a
AFSI^B,"AmTrust Financial Services, Inc.",10.3,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/afsi^b
AFSI^C,"AmTrust Financial Services, Inc.",10.53,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/afsi^c
AFSI^D,"AmTrust Financial Services, Inc.",10.2,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/afsi^d
AFSI^E,"AmTrust Financial Services, Inc.",10.3,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/afsi^e
AFSI^F,"AmTrust Financial Services, Inc.",10.05,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/afsi^f
AFSS,"AmTrust Financial Services, Inc.",18.1,n/a,2015,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/afss
AFST,"AmTrust Financial Services, Inc.",18.45,n/a,2015,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/afst
AFT,Apollo Senior Floating Rate Fund Inc.,14.52,$226.12M,2011,n/a,n/a,https://www.nasdaq.com/symbol/aft
AG,First Majestic Silver Corp.,6.04,$1.17B,n/a,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/ag
AGCO,AGCO Corporation,64.24,$5.03B,n/a,Capital Goods,Industrial Machinery/Components,https://www.nasdaq.com/symbol/agco
AGD,Aberdeen Global Dynamic Dividend Fund,9.73,$122.11M,2006,n/a,n/a,https://www.nasdaq.com/symbol/agd
AGI,Alamos Gold Inc.,4.4,$1.72B,2015,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/agi
AGM,Federal Agricultural Mortgage Corporation,71.38,$761.53M,n/a,Finance,Finance Companies,https://www.nasdaq.com/symbol/agm
AGM.A,Federal Agricultural Mortgage Corporation,n/a,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/agm.a
AGM^A,Federal Agricultural Mortgage Corporation,25.15,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/agm^a
AGM^B,Federal Agricultural Mortgage Corporation,26.0191,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/agm^b
AGM^C,Federal Agricultural Mortgage Corporation,27.03,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/agm^c
AGN,Allergan plc.,136.98,$46.2B,2013,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/agn
AGO,Assured Guaranty Ltd.,40.47,$4.28B,2004,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/ago
AGO^B,Assured Guaranty Ltd.,26.02,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/ago^b
AGO^E,Assured Guaranty Ltd.,24.52,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/ago^e
AGO^F,Assured Guaranty Ltd.,25.25,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/ago^f
AGR,"Avangrid, Inc.",49.56,$15.31B,2015,Public Utilities,Electric Utilities: Central,https://www.nasdaq.com/symbol/agr
AGRO,Adecoagro S.A.,7.3,$850.85M,2011,Consumer Non-Durables,Farming/Seeds/Milling,https://www.nasdaq.com/symbol/agro
AGS,"PlayAGS, Inc.",24.14,$852.27M,2018,Consumer Durables,Miscellaneous manufacturing industries,https://www.nasdaq.com/symbol/ags
AGX,"Argan, Inc.",47,$731.82M,n/a,Basic Industries,Engineering & Construction,https://www.nasdaq.com/symbol/agx
AHC,A.H. Belo Corporation,4.15,$89.82M,n/a,Consumer Services,Newspapers/Magazines,https://www.nasdaq.com/symbol/ahc
AHH,"Armada Hoffler Properties, Inc.",15.27,$757.82M,2013,Finance,Real Estate,https://www.nasdaq.com/symbol/ahh
AHL,Aspen Insurance Holdings Limited,41.99,$2.51B,2003,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/ahl
AHL^C,Aspen Insurance Holdings Limited,25.51,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/ahl^c
AHL^D,Aspen Insurance Holdings Limited,23.78,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/ahl^d
AHT,Ashford Hospitality Trust Inc,5.19,$524.39M,2003,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/aht
AHT^D,Ashford Hospitality Trust Inc,24.5,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/aht^d
AHT^F,Ashford Hospitality Trust Inc,20.24,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/aht^f
AHT^G,Ashford Hospitality Trust Inc,20.799,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/aht^g
AHT^H,Ashford Hospitality Trust Inc,21.03,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/aht^h
AHT^I,Ashford Hospitality Trust Inc,20.99,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/aht^i
AI,Arlington Asset Investment Corp,8.78,$266.43M,n/a,Finance,Finance/Investors Services,https://www.nasdaq.com/symbol/ai
AI^B,Arlington Asset Investment Corp,23.19,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/ai^b
AIC,Arlington Asset Investment Corp,23.47,n/a,2015,Finance,Finance/Investors Services,https://www.nasdaq.com/symbol/aic
AIF,Apollo Tactical Income Fund Inc.,14.36,$207.7M,2013,n/a,n/a,https://www.nasdaq.com/symbol/aif
AIG,"American International Group, Inc.",43.65,$38.61B,n/a,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/aig
AIG.WS,"American International Group, Inc.",n/a,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/aig.ws
AIN,Albany International Corporation,70.2,$2.26B,n/a,Basic Industries,Textiles,https://www.nasdaq.com/symbol/ain
AIR,AAR Corp.,37.37,$1.31B,n/a,Capital Goods,Aerospace,https://www.nasdaq.com/symbol/air
AIT,"Applied Industrial Technologies, Inc.",57.38,$2.22B,n/a,Consumer Durables,Industrial Specialties,https://www.nasdaq.com/symbol/ait
AIV,Apartment Investment and Management Company,49.2,$7.66B,1994,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/aiv
AIV^A,Apartment Investment and Management Company,25.75,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/aiv^a
AIW,Arlington Asset Investment Corp,23.4899,n/a,n/a,Finance,Finance/Investors Services,https://www.nasdaq.com/symbol/aiw
AIY,Apollo Investment Corporation,25.51,n/a,2013,n/a,n/a,https://www.nasdaq.com/symbol/aiy
AIZ,"Assurant, Inc.",97.91,$6.08B,2004,Finance,Accident &Health Insurance,https://www.nasdaq.com/symbol/aiz
AIZP,"Assurant, Inc.",105.52,n/a,n/a,Finance,Accident &Health Insurance,https://www.nasdaq.com/symbol/aizp
AJG,Arthur J. Gallagher & Co.,78.4,$14.42B,n/a,Finance,Specialty Insurers,https://www.nasdaq.com/symbol/ajg
AJRD,"Aerojet Rocketdyne Holdings, Inc. ",40.12,$3.14B,n/a,Capital Goods,Military/Government/Technical,https://www.nasdaq.com/symbol/ajrd
AJX,Great Ajax Corp.,13.19,$248.72M,2015,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/ajx
AJXA,Great Ajax Corp.,24.72,n/a,2017,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/ajxa
AKO.A,Embotelladora Andina S.A.,n/a,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/ako.a
AKO.B,Embotelladora Andina S.A.,n/a,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/ako.b
AKP,Alliance California Municipal Income Fund Inc,13.86,$118.57M,2002,n/a,n/a,https://www.nasdaq.com/symbol/akp
AKR,Acadia Realty Trust,28.74,$2.34B,n/a,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/akr
AKS,AK Steel Holding Corporation,3.21,$1.01B,n/a,Basic Industries,Steel/Iron Ore,https://www.nasdaq.com/symbol/aks
AL,Air Lease Corporation,37.9,$4.2B,2011,Technology,Diversified Commercial Services,https://www.nasdaq.com/symbol/al
ALB,Albemarle Corporation,82.19,$8.73B,n/a,Basic Industries,Major Chemicals,https://www.nasdaq.com/symbol/alb
ALE,"Allete, Inc.",75.89,$3.9B,n/a,Public Utilities,Power Generation,https://www.nasdaq.com/symbol/ale
ALEX,"Alexander & Baldwin, Inc.",23.51,$1.69B,n/a,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/alex
ALG,"Alamo Group, Inc.",86.74,$1.02B,n/a,Capital Goods,Industrial Machinery/Components,https://www.nasdaq.com/symbol/alg
ALK,"Alaska Air Group, Inc.",64.82,$7.99B,n/a,Transportation,Air Freight/Delivery Services,https://www.nasdaq.com/symbol/alk
ALL,Allstate Corporation (The),92.56,$31.88B,n/a,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/all
ALL^A,Allstate Corporation (The),24.92,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/all^a
ALL^B,Allstate Corporation (The),24.88,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/all^b
ALL^D,Allstate Corporation (The),25.53,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/all^d
ALL^E,Allstate Corporation (The),25.32,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/all^e
ALL^F,Allstate Corporation (The),25.5,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/all^f
ALL^G,Allstate Corporation (The),24.95,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/all^g
ALLE,Allegion plc,89.64,$8.52B,2013,Consumer Services,Diversified Commercial Services,https://www.nasdaq.com/symbol/alle
ALLY,Ally Financial Inc.,26.57,$10.76B,2014,Finance,Major Banks,https://www.nasdaq.com/symbol/ally
ALLY^A,Ally Financial Inc.,26.28,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/ally^a
ALP^Q,Alabama Power Company,25.05,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/alp^q
ALSN,"Allison Transmission Holdings, Inc.",48.36,$6.27B,2012,Capital Goods,Auto Parts:O.E.M.,https://www.nasdaq.com/symbol/alsn
ALV,"Autoliv, Inc.",77.97,$6.79B,n/a,Capital Goods,Auto Parts:O.E.M.,https://www.nasdaq.com/symbol/alv
ALX,"Alexander&#39;s, Inc.",352.79,$1.8B,n/a,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/alx
AM,Antero Midstream Partners LP,25.59,$4.79B,2014,Public Utilities,Natural Gas Distribution,https://www.nasdaq.com/symbol/am
AMBR,"Amber Road, Inc.",8.88,$246.8M,2014,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/ambr
AMC,"AMC Entertainment Holdings, Inc.",13.79,$1.43B,2013,Consumer Services,Movies/Entertainment,https://www.nasdaq.com/symbol/amc
AME,"AMTEK, Inc.",74.62,$17.32B,n/a,Consumer Durables,Metal Fabrications,https://www.nasdaq.com/symbol/ame
AMG,"Affiliated Managers Group, Inc.",109.14,$5.75B,n/a,Finance,Investment Managers,https://www.nasdaq.com/symbol/amg
AMGP,Antero Midstream GP LP,13.65,$2.54B,2017,Public Utilities,Natural Gas Distribution,https://www.nasdaq.com/symbol/amgp
AMH,American Homes 4 Rent,22.56,$6.69B,2013,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/amh
AMH^D,American Homes 4 Rent,24.06,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/amh^d
AMH^E,American Homes 4 Rent,23.27,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/amh^e
AMH^F,American Homes 4 Rent,22.75,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/amh^f
AMH^G,American Homes 4 Rent,22.24,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/amh^g
AMH^H,American Homes 4 Rent,23.7,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/amh^h
AMID,"American Midstream Partners, LP",3.95,$212.57M,2011,Public Utilities,Natural Gas Distribution,https://www.nasdaq.com/symbol/amid
AMN,AMN Healthcare Services Inc,63.58,$2.98B,n/a,Technology,Professional Services,https://www.nasdaq.com/symbol/amn
AMOV,"America Movil, S.A.B. de C.V.",15.96,$52.69B,n/a,Public Utilities,Telecommunications Equipment,https://www.nasdaq.com/symbol/amov
AMP,"AMERIPRISE FINANCIAL SERVICES, INC.",126.69,$17.27B,n/a,Finance,Investment Managers,https://www.nasdaq.com/symbol/amp
AMRC,"Ameresco, Inc.",14.93,$686.43M,2010,Basic Industries,Engineering & Construction,https://www.nasdaq.com/symbol/amrc
AMRX,"Amneal Pharmaceuticals, Inc.",12.86,$3.84B,2018,n/a,n/a,https://www.nasdaq.com/symbol/amrx
AMT,American Tower Corporation (REIT),170.27,$75B,n/a,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/amt
AMX,"America Movil, S.A.B. de C.V.",15.93,$52.59B,n/a,Public Utilities,Telecommunications Equipment,https://www.nasdaq.com/symbol/amx
AN,"AutoNation, Inc.",38.88,$3.5B,n/a,Consumer Durables,Automotive Aftermarket,https://www.nasdaq.com/symbol/an
ANDX,Andeavor Logistics LP,35.51,$8.72B,2011,Energy,Natural Gas Distribution,https://www.nasdaq.com/symbol/andx
ANET,"Arista Networks, Inc.",224.67,$16.95B,2014,Technology,Computer Communications Equipment,https://www.nasdaq.com/symbol/anet
ANF,Abercrombie & Fitch Company,21.84,$1.44B,n/a,Consumer Services,Clothing/Shoe/Accessory Stores,https://www.nasdaq.com/symbol/anf
ANFI,Amira Nature Foods Ltd,1.02,$38.67M,2012,Consumer Non-Durables,Packaged Foods,https://www.nasdaq.com/symbol/anfi
ANH,Anworth Mortgage Asset  Corporation,4.5,$443.09M,n/a,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/anh
ANH^A,Anworth Mortgage Asset  Corporation,25.6668,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/anh^a
ANH^B,Anworth Mortgage Asset  Corporation,24.25,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/anh^b
ANH^C,Anworth Mortgage Asset  Corporation,24.86,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/anh^c
ANTM,"Anthem, Inc.",311.36,$80.53B,n/a,Health Care,Medical Specialities,https://www.nasdaq.com/symbol/antm
AOD,Aberdeen Total Dynamic Dividend Fund,8.28,$890.87M,2007,n/a,n/a,https://www.nasdaq.com/symbol/aod
AON,Aon plc,168.35,$40.55B,n/a,Finance,Specialty Insurers,https://www.nasdaq.com/symbol/aon
AOS,A.O Smith Corporation,49.75,$8.46B,n/a,Consumer Durables,Consumer Electronics/Appliances,https://www.nasdaq.com/symbol/aos
AP,Ampco-Pittsburgh Corporation,3.7,$46.23M,n/a,Capital Goods,Fluid Controls,https://www.nasdaq.com/symbol/ap
APA,Apache Corporation,31.85,$12.09B,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/apa
APAM,Artisan Partners Asset Management Inc.,24.25,$1.87B,2013,Finance,Investment Managers,https://www.nasdaq.com/symbol/apam
APC,Anadarko Petroleum Corporation,45.45,$22.92B,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/apc
APD,"Air Products and Chemicals, Inc.",169.91,$37.32B,n/a,Basic Industries,Major Chemicals,https://www.nasdaq.com/symbol/apd
APF,"Morgan Stanley Asia-Pacific Fund, Inc.",17.48,$227.68M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/apf
APH,Amphenol Corporation,89.81,$27.06B,n/a,Capital Goods,Electrical Products,https://www.nasdaq.com/symbol/aph
APHA,Aphria Inc.,9.7,$2.43B,n/a,Consumer Durables,Specialty Chemicals,https://www.nasdaq.com/symbol/apha
APLE,"Apple Hospitality REIT, Inc.",16.13,$3.69B,2015,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/aple
APO,"Apollo Global Management, LLC",30.31,$12.4B,2011,Finance,Investment Managers,https://www.nasdaq.com/symbol/apo
APO^A,"Apollo Global Management, LLC",24.6479,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/apo^a
APO^B,"Apollo Global Management, LLC",24.45,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/apo^b
APRN,"Blue Apron Holdings, Inc.",1.4,$271.25M,2017,Consumer Services,Catalog/Specialty Distribution,https://www.nasdaq.com/symbol/aprn
APTS,"Preferred Apartment Communities, Inc.",15.9,$652.68M,2011,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/apts
APTV,Aptiv PLC,78.28,$20.62B,2011,Capital Goods,Auto Parts:O.E.M.,https://www.nasdaq.com/symbol/aptv
APU,"AmeriGas Partners, L.P.",31.21,$2.9B,n/a,Consumer Services,Other Specialty Stores,https://www.nasdaq.com/symbol/apu
APY,Apergy Corporation,34.97,$2.7B,2018,Technology,Industrial Machinery/Components,https://www.nasdaq.com/symbol/apy
AQ,Aquantia Corp.,9.73,$339.13M,2017,Technology,Semiconductors,https://www.nasdaq.com/symbol/aq
AQN,Algonquin Power & Utilities Corp.,11.1,$5.43B,2016,Public Utilities,Electric Utilities: Central,https://www.nasdaq.com/symbol/aqn
AQNA,Algonquin Power & Utilities Corp.,25.95,n/a,2018,Public Utilities,Electric Utilities: Central,https://www.nasdaq.com/symbol/aqna
AQUA,Evoqua Water Technologies Corp.,12.01,$1.37B,2017,Technology,Industrial Machinery/Components,https://www.nasdaq.com/symbol/aqua
AR,Antero Resources Corporation,9.32,$2.87B,2013,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/ar
ARA,"American Renal Associates Holdings, Inc",12.33,$400.94M,2016,Health Care,Hospital/Nursing Management,https://www.nasdaq.com/symbol/ara
ARC,"ARC Document Solutions, Inc.",2.54,$116.31M,2004,Consumer Services,Professional Services,https://www.nasdaq.com/symbol/arc
ARCH,"Arch Coal, Inc.",87.38,$1.64B,2016,Energy,Coal Mining,https://www.nasdaq.com/symbol/arch
ARCO,Arcos Dorados Holdings Inc.,8.51,$1.77B,2011,Consumer Services,Restaurants,https://www.nasdaq.com/symbol/arco
ARD,Ardagh Group S.A.,12.11,$2.86B,2017,Consumer Durables,Containers/Packaging,https://www.nasdaq.com/symbol/ard
ARDC,"Ares Dynamic Credit Allocation Fund, Inc.",14.6,$335.25M,2012,n/a,n/a,https://www.nasdaq.com/symbol/ardc
ARE,"Alexandria Real Estate Equities, Inc.",129.01,$13.87B,n/a,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/are
ARE^D,"Alexandria Real Estate Equities, Inc.",36.0495,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/are^d
ARES,Ares Management Corporation,22.22,$4.86B,2014,Finance,Investment Managers,https://www.nasdaq.com/symbol/ares
ARES^A,Ares Management Corporation,26.77,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/ares^a
ARGD,"Argo Group International Holdings, Ltd.",25.52,n/a,n/a,Finance,Specialty Insurers,https://www.nasdaq.com/symbol/argd
ARGO,"Argo Group International Holdings, Ltd.",66.98,$2.27B,n/a,Finance,Specialty Insurers,https://www.nasdaq.com/symbol/argo
ARI,Apollo Commercial Real Estate Finance,18.38,$2.46B,2009,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/ari
ARI^C,Apollo Commercial Real Estate Finance,25.34,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/ari^c
ARL,"American Realty Investors, Inc.",13.19,$211M,n/a,Finance,Real Estate,https://www.nasdaq.com/symbol/arl
ARLO,"Arlo Technologies, Inc.",3.86,$286.59M,2018,Consumer Non-Durables,Consumer Electronics/Appliances,https://www.nasdaq.com/symbol/arlo
ARMK,Aramark,33.35,$8.25B,2013,Consumer Services,Restaurants,https://www.nasdaq.com/symbol/armk
ARNC,Arconic Inc.,18.32,$8.85B,n/a,Capital Goods,Metal Fabrications,https://www.nasdaq.com/symbol/arnc
AROC,"Archrock, Inc.",9.59,$1.24B,n/a,Public Utilities,Natural Gas Distribution,https://www.nasdaq.com/symbol/aroc
ARR,"ARMOUR Residential REIT, Inc.",21.31,$1.08B,n/a,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/arr
ARR^A,"ARMOUR Residential REIT, Inc.",25.4299,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/arr^a
ARR^B,"ARMOUR Residential REIT, Inc.",24.88,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/arr^b
ARW,"Arrow Electronics, Inc.",77.19,$6.73B,n/a,Consumer Non-Durables,Electronic Components,https://www.nasdaq.com/symbol/arw
